,index,team1,team2
0,0,Sunrisers Hyderabad,Royal Challengers Bangalore
1,4,Royal Challengers Bangalore,Delhi Daredevils
2,6,Kolkata Knight Riders,Mumbai Indians
3,7,Royal Challengers Bangalore,Kings XI Punjab
4,9,Sunrisers Hyderabad,Mumbai Indians
5,10,Kings XI Punjab,Kolkata Knight Riders
6,11,Royal Challengers Bangalore,Mumbai Indians
7,13,Kolkata Knight Riders,Sunrisers Hyderabad
8,14,Delhi Daredevils,Kings XI Punjab
9,17,Delhi Daredevils,Kolkata Knight Riders
10,18,Sunrisers Hyderabad,Kings XI Punjab
11,20,Sunrisers Hyderabad,Delhi Daredevils
12,21,Kings XI Punjab,Mumbai Indians
13,23,Mumbai Indians,Delhi Daredevils
14,26,Kolkata Knight Riders,Royal Challengers Bangalore
15,30,Delhi Daredevils,Kolkata Knight Riders
16,31,Sunrisers Hyderabad,Kings XI Punjab
17,34,Delhi Daredevils,Kings XI Punjab
18,35,Sunrisers Hyderabad,Kolkata Knight Riders
19,36,Royal Challengers Bangalore,Mumbai Indians
20,38,Sunrisers Hyderabad,Delhi Daredevils
21,41,Kings XI Punjab,Royal Challengers Bangalore
22,43,Mumbai Indians,Delhi Daredevils
23,44,Royal Challengers Bangalore,Kolkata Knight Riders
24,46,Mumbai Indians,Sunrisers Hyderabad
25,47,Kings XI Punjab,Kolkata Knight Riders
26,49,Kings XI Punjab,Mumbai Indians
27,52,Mumbai Indians,Kolkata Knight Riders
28,54,Royal Challengers Bangalore,Delhi Daredevils
29,56,Sunrisers Hyderabad,Kolkata Knight Riders
30,57,Kolkata Knight Riders,Mumbai Indians
31,59,Kolkata Knight Riders,Royal Challengers Bangalore
32,60,Chennai Super Kings,Kings XI Punjab
33,61,Rajasthan Royals,Delhi Daredevils
34,62,Mumbai Indians,Royal Challengers Bangalore
35,64,Kings XI Punjab,Rajasthan Royals
36,66,Chennai Super Kings,Mumbai Indians
37,68,Kings XI Punjab,Mumbai Indians
38,69,Royal Challengers Bangalore,Rajasthan Royals
39,70,Kolkata Knight Riders,Chennai Super Kings
40,72,Delhi Daredevils,Kings XI Punjab
41,73,Chennai Super Kings,Royal Challengers Bangalore
42,74,Kolkata Knight Riders,Mumbai Indians
43,75,Delhi Daredevils,Royal Challengers Bangalore
44,77,Rajasthan Royals,Kolkata Knight Riders
45,78,Chennai Super Kings,Delhi Daredevils
46,80,Kings XI Punjab,Kolkata Knight Riders
47,81,Mumbai Indians,Delhi Daredevils
48,82,Chennai Super Kings,Rajasthan Royals
49,83,Royal Challengers Bangalore,Kings XI Punjab
50,85,Rajasthan Royals,Mumbai Indians
51,86,Delhi Daredevils,Chennai Super Kings
52,87,Kolkata Knight Riders,Royal Challengers Bangalore
53,89,Royal Challengers Bangalore,Mumbai Indians
54,90,Chennai Super Kings,Kings XI Punjab
55,92,Delhi Daredevils,Rajasthan Royals
56,93,Royal Challengers Bangalore,Kings XI Punjab
57,94,Kolkata Knight Riders,Delhi Daredevils
58,95,Chennai Super Kings,Mumbai Indians
59,96,Kings XI Punjab,Rajasthan Royals
60,98,Kolkata Knight Riders,Mumbai Indians
61,99,Delhi Daredevils,Kings XI Punjab
62,100,Rajasthan Royals,Royal Challengers Bangalore
63,102,Kolkata Knight Riders,Chennai Super Kings
64,103,Royal Challengers Bangalore,Delhi Daredevils
65,104,Kolkata Knight Riders,Rajasthan Royals
66,105,Kings XI Punjab,Mumbai Indians
67,106,Royal Challengers Bangalore,Chennai Super Kings
68,108,Mumbai Indians,Delhi Daredevils
69,109,Rajasthan Royals,Chennai Super Kings
70,111,Kings XI Punjab,Kolkata Knight Riders
71,112,Mumbai Indians,Rajasthan Royals
72,114,Rajasthan Royals,Delhi Daredevils
73,115,Kings XI Punjab,Chennai Super Kings
74,116,Chennai Super Kings,Rajasthan Royals
75,117,Mumbai Indians,Chennai Super Kings
